"","drug","model.id","response_type","value"
"238","WATER","M5.1.F25","slope","68.8636"
"239","WATER","M5.1.F25","AUC","191.0600"
"240","WATER","M5.1.F25","survival","51.0000"
"241","CFI-400945","M15.1.F25","mRECIST","SD"
"242","CFI-400945","M15.1.F25","best.average.response","4.9900"
"243","CFI-400945","M15.1.F25","slope","12.6224"
"244","CFI-400945","M15.1.F25","AUC","129.8255"
"245","CFI-400945","M15.1.F25","survival","51.0000"
"246","BMN673","M25.1.F25","mRECIST","SD"
"247","BMN673","M25.1.F25","best.average.response","20.7554"
"248","BMN673","M25.1.F25","slope","35.5232"
"249","BMN673","M25.1.F25","AUC","183.5759"
"250","BMN673","M25.1.F25","survival","51.0000"
"251","CDX-011","M35.1.F25","mRECIST","PR"
"252","CDX-011","M35.1.F25","best.average.response","-41.9047"
"253","CDX-011","M35.1.F25","slope","-68.5744"
"254","CDX-011","M35.1.F25","AUC","67.2867"
"255","CDX-011","M35.1.F25","survival","196.0000"
"256","TAXOL + CFI-402257","M5.1.F26","mRECIST","PD"
"257","TAXOL + CFI-402257","M5.1.F26","best.average.response","20.9857"
"258","TAXOL + CFI-402257","M5.1.F26","slope","84.4850"
"259","TAXOL + CFI-402257","M5.1.F26","AUC","304.6353"
"260","TAXOL + CFI-402257","M5.1.F26","survival","27.0000"
"261","TAXOL","M15.1.F26","mRECIST","PD"
"262","TAXOL","M15.1.F26","best.average.response","48.8773"
"263","TAXOL","M15.1.F26","slope","86.1595"
"264","TAXOL","M15.1.F26","AUC","365.7728"
"265","TAXOL","M15.1.F26","survival","27.0000"
"266","WATER","M5.1.F27","mRECIST","SD"
"267","WATER","M5.1.F27","best.average.response","15.8719"
"268","WATER","M5.1.F27","slope","78.0852"
"269","WATER","M5.1.F27","AUC","251.8410"
"270","WATER","M5.1.F27","survival","103.0000"
"271","BMN673","M15.1.F27","mRECIST","SD"
"272","BMN673","M15.1.F27","best.average.response","-3.1949"
"273","BMN673","M15.1.F27","slope","39.1072"
"274","BMN673","M15.1.F27","AUC","210.6546"
"275","BMN673","M15.1.F27","survival","109.0000"
"276","TAXOL","M25.1.F27","mRECIST","PR"
"277","TAXOL","M25.1.F27","best.average.response","-37.8990"
"278","TAXOL","M25.1.F27","slope","-58.8338"
"279","TAXOL","M25.1.F27","AUC","67.0666"
"280","TAXOL","M25.1.F27","survival","265.0000"
"281","ERIBULIN","M35.1.F27","mRECIST","PR"
"282","ERIBULIN","M35.1.F27","best.average.response","-24.5650"
"283","ERIBULIN","M35.1.F27","slope","-14.4967"
"284","ERIBULIN","M35.1.F27","AUC","132.5193"
"285","ERIBULIN","M35.1.F27","survival","151.0000"
"286","TAXOL + CFI-402257","M6.1.F28","mRECIST","PR"
"287","TAXOL + CFI-402257","M6.1.F28","best.average.response","-29.2661"
"288","TAXOL + CFI-402257","M6.1.F28","slope","-61.7622"
"289","TAXOL + CFI-402257","M6.1.F28","AUC","102.7676"
"290","TAXOL + CFI-402257","M6.1.F28","survival","183.0000"
"291","WATER","M5.1.F29","mRECIST","PD"
"292","WATER","M5.1.F29","best.average.response","31.9618"
"293","WATER","M5.1.F29","slope","85.7315"
"294","WATER","M5.1.F29","AUC","353.4236"
"295","WATER","M5.1.F29","survival","24.0000"
"296","BMN673","M15.1.F29","mRECIST","PD"
"297","BMN673","M15.1.F29","best.average.response","30.5403"
"298","BMN673","M15.1.F29","slope","86.6075"
"299","BMN673","M15.1.F29","AUC","477.2815"
"300","BMN673","M15.1.F29","survival","24.0000"
"301","CX5461","M5.1.F30","mRECIST","SD"
"302","CX5461","M5.1.F30","best.average.response","-2.7797"
"303","CX5461","M5.1.F30","slope","73.1146"
"304","CX5461","M5.1.F30","AUC","325.1407"
"305","CX5461","M5.1.F30","survival","68.0000"
"306","CARBOPLATIN","M15.1.F30","mRECIST","PD"
"307","CARBOPLATIN","M15.1.F30","best.average.response","30.3494"
"308","CARBOPLATIN","M15.1.F30","slope","77.1158"
"309","CARBOPLATIN","M15.1.F30","AUC","197.0115"
"310","CARBOPLATIN","M15.1.F30","survival","47.0000"
"311","CX5461 VEHICLE","M5.1.F31","mRECIST","SD"
"312","CX5461 VEHICLE","M5.1.F31","best.average.response","-15.0293"
"313","CX5461 VEHICLE","M5.1.F31","slope","-1.4673"
"314","CX5461 VEHICLE","M5.1.F31","AUC","112.9025"
"315","CX5461 VEHICLE","M5.1.F31","survival","320.0000"
"316","CX5461","M15.1.F31","mRECIST","SD"
"317","CX5461","M15.1.F31","best.average.response","-8.0865"
"318","CX5461","M15.1.F31","slope","39.9410"
"319","CX5461","M15.1.F31","AUC","147.8710"
"320","CX5461","M15.1.F31","survival","320.0000"
"321","WATER","M5.1.F32","mRECIST","SD"
"322","WATER","M5.1.F32","best.average.response","-21.1401"
"323","WATER","M5.1.F32","slope","65.3060"
"324","WATER","M5.1.F32","AUC","245.5759"
"325","WATER","M5.1.F32","survival","105.0000"
"326","CFI-402257","M15.1.F32","mRECIST","SD"
"327","CFI-402257","M15.1.F32","best.average.response","-27.4898"
"328","CFI-402257","M15.1.F32","slope","56.4302"
"329","CFI-402257","M15.1.F32","AUC","259.8358"
"330","CFI-402257","M15.1.F32","survival","54.0000"
"331","TAXOL","M25.1.F32","mRECIST",NA
"332","TAXOL","M25.1.F32","best.average.response","NA"
"333","TAXOL","M25.1.F32","slope","-75.9270"
"334","TAXOL","M25.1.F32","AUC","142.0502"
"335","TAXOL","M25.1.F32","survival","12.0000"
"336","CFI-400945","M5.1.F33","mRECIST","CR"
"337","CFI-400945","M5.1.F33","best.average.response","-68.5420"
"338","CFI-400945","M5.1.F33","slope","-70.9354"
"339","CFI-400945","M5.1.F33","AUC","24.9431"
"340","CFI-400945","M5.1.F33","survival","321.0000"
"341","WATER","M5.1.F34","mRECIST","SD"
"342","WATER","M5.1.F34","best.average.response","4.2911"
"343","WATER","M5.1.F34","slope","79.2815"
"344","WATER","M5.1.F34","AUC","237.9050"
"345","WATER","M5.1.F34","survival","72.0000"
"346","CFI-402257","M15.1.F34","mRECIST","SD"
"347","CFI-402257","M15.1.F34","best.average.response","7.0055"
"348","CFI-402257","M15.1.F34","slope","59.6470"
"349","CFI-402257","M15.1.F34","AUC","139.5420"
"350","CFI-402257","M15.1.F34","survival","34.0000"
"351","CFI-400945","M25.1.F34","mRECIST","CR"
"352","CFI-400945","M25.1.F34","best.average.response","-64.3726"
"353","CFI-400945","M25.1.F34","slope","-71.5309"
"354","CFI-400945","M25.1.F34","AUC","29.9707"
"355","CFI-400945","M25.1.F34","survival","182.0000"
"356","EVEROLIMUS","M35.1.F34","mRECIST","SD"
"357","EVEROLIMUS","M35.1.F34","best.average.response","-12.5361"
"358","EVEROLIMUS","M35.1.F34","slope","-2.7620"
"359","EVEROLIMUS","M35.1.F34","AUC","153.1517"
"360","EVEROLIMUS","M35.1.F34","survival","34.0000"
"361","BMN673","M5.1.F35","mRECIST","SD"
"362","BMN673","M5.1.F35","best.average.response","-24.2084"
"363","BMN673","M5.1.F35","slope","4.4392"
"364","BMN673","M5.1.F35","AUC","94.6602"
"365","BMN673","M5.1.F35","survival","223.0000"
"366","ERIBULIN","M15.1.F35","mRECIST","PR"
"367","ERIBULIN","M15.1.F35","best.average.response","-62.0381"
"368","ERIBULIN","M15.1.F35","slope","-71.5641"
"369","ERIBULIN","M15.1.F35","AUC","45.5103"
"370","ERIBULIN","M15.1.F35","survival","314.0000"
"371","BMN673","M5.1.F36","mRECIST","SD"
"372","BMN673","M5.1.F36","best.average.response","25.8132"
"373","BMN673","M5.1.F36","slope","62.4755"
"374","BMN673","M5.1.F36","AUC","187.5800"
"375","BMN673","M5.1.F36","survival","67.0000"
"376","TAXOL","M15.1.F36","mRECIST","PR"
"377","TAXOL","M15.1.F36","best.average.response","-59.4870"
"378","TAXOL","M15.1.F36","slope","-76.7874"
"379","TAXOL","M15.1.F36","AUC","54.3763"
"380","TAXOL","M15.1.F36","survival","203.0000"
"381","CX5461 VEHICLE","M5.1.F37","mRECIST","PD"
"382","CX5461 VEHICLE","M5.1.F37","best.average.response","23.6970"
"383","CX5461 VEHICLE","M5.1.F37","slope","84.9186"
"384","CX5461 VEHICLE","M5.1.F37","AUC","396.0181"
"385","CX5461 VEHICLE","M5.1.F37","survival","69.0000"
"386","CX5461","M15.1.F37","mRECIST","SD"
"387","CX5461","M15.1.F37","best.average.response","9.0473"
"388","CX5461","M15.1.F37","slope","73.2437"
"389","CX5461","M15.1.F37","AUC","223.4055"
"390","CX5461","M15.1.F37","survival","72.0000"
"391","CFI-402257","M15.1.F38","mRECIST","SD"
"392","CFI-402257","M15.1.F38","best.average.response","-10.0292"
"393","CFI-402257","M15.1.F38","slope","-26.9163"
"394","CFI-402257","M15.1.F38","AUC","161.7140"
"395","CFI-402257","M15.1.F38","survival","42.0000"
"396","TAXOL + CFI-402257","M15.1.F39","mRECIST","CR"
"397","TAXOL + CFI-402257","M15.1.F39","best.average.response","-57.7639"
"398","TAXOL + CFI-402257","M15.1.F39","slope","-71.4808"
"399","TAXOL + CFI-402257","M15.1.F39","AUC","41.4510"
"400","TAXOL + CFI-402257","M15.1.F39","survival","180.0000"
"401","BMN673","M25.1.F39","mRECIST","SD"
"402","BMN673","M25.1.F39","best.average.response","10.3009"
"403","BMN673","M25.1.F39","slope","62.8659"
"404","BMN673","M25.1.F39","AUC","149.6681"
"405","BMN673","M25.1.F39","survival","43.0000"
"406","CFI-402257","M5.1.F40","mRECIST","CR"
"407","CFI-402257","M5.1.F40","best.average.response","-59.5935"
"408","CFI-402257","M5.1.F40","slope","-75.0488"
"409","CFI-402257","M5.1.F40","AUC","51.8197"
"410","CFI-402257","M5.1.F40","survival","217.0000"
"411","CFI-400945","M15.1.F40","mRECIST","CR"
"412","CFI-400945","M15.1.F40","best.average.response","-67.9498"
"413","CFI-400945","M15.1.F40","slope","-73.9411"
"414","CFI-400945","M15.1.F40","AUC","29.7868"
"415","CFI-400945","M15.1.F40","survival","51.0000"
"416","CX5461","M25.1.F40","mRECIST","SD"
"417","CX5461","M25.1.F40","best.average.response","-1.5240"
"418","CX5461","M25.1.F40","slope","12.9260"
"419","CX5461","M25.1.F40","AUC","213.7700"
"420","CX5461","M25.1.F40","survival","78.0000"
"421","TAXOL + CFI-402257","M5.1.F41","mRECIST","PR"
"422","TAXOL + CFI-402257","M5.1.F41","best.average.response","-52.1910"
"423","TAXOL + CFI-402257","M5.1.F41","slope","-77.8326"
"424","TAXOL + CFI-402257","M5.1.F41","AUC","74.3873"
"425","TAXOL + CFI-402257","M5.1.F41","survival","33.0000"
"426","TAXOL","M15.1.F42","mRECIST","SD"
"427","TAXOL","M15.1.F42","best.average.response","14.2886"
"428","TAXOL","M15.1.F42","slope","79.9704"
"429","TAXOL","M15.1.F42","AUC","206.5970"
"430","TAXOL","M15.1.F42","survival","39.0000"
"431","CFI-400945","M5.1.F43","mRECIST","SD"
"432","CFI-400945","M5.1.F43","best.average.response","-10.2707"
"433","CFI-400945","M5.1.F43","slope","-52.2173"
"434","CFI-400945","M5.1.F43","AUC","164.9253"
"435","CFI-400945","M5.1.F43","survival","48.0000"
"436","CFI-400945","M6.2.F43","mRECIST","CR"
"437","CFI-400945","M6.2.F43","best.average.response","-44.9163"
"438","CFI-400945","M6.2.F43","slope","-62.7812"
"439","CFI-400945","M6.2.F43","AUC","58.4100"
"440","CFI-400945","M6.2.F43","survival","135.0000"
"441","ERIBULIN","M5.1.F44","mRECIST","SD"
"442","ERIBULIN","M5.1.F44","best.average.response","-13.0829"
"443","ERIBULIN","M5.1.F44","slope","-20.0874"
"444","ERIBULIN","M5.1.F44","AUC","221.1748"
"445","ERIBULIN","M5.1.F44","survival","36.0000"
"446","ERIBULIN","M6.2.F44","mRECIST","SD"
"447","ERIBULIN","M6.2.F44","best.average.response","-9.9370"
"448","ERIBULIN","M6.2.F44","slope","81.0491"
"449","ERIBULIN","M6.2.F44","AUC","372.6987"
"450","ERIBULIN","M6.2.F44","survival","36.0000"
"451","WATER","M5.1.F45","mRECIST","PD"
"452","WATER","M5.1.F45","best.average.response","42.9057"
"453","WATER","M5.1.F45","slope","86.3458"
"454","WATER","M5.1.F45","AUC","460.8291"
"455","WATER","M5.1.F45","survival","34.0000"
"456","CFI-402257","M15.1.F45","mRECIST","PD"
"457","CFI-402257","M15.1.F45","best.average.response","40.4036"
"458","CFI-402257","M15.1.F45","slope","84.0950"
"459","CFI-402257","M15.1.F45","AUC","370.4664"
"460","CFI-402257","M15.1.F45","survival","34.0000"
"461","BMN673","M25.1.F45","mRECIST","SD"
"462","BMN673","M25.1.F45","best.average.response","-6.7685"
"463","BMN673","M25.1.F45","slope","-59.2893"
"464","BMN673","M25.1.F45","AUC","141.0125"
"465","BMN673","M25.1.F45","survival","177.0000"
"466","CFI-400945","M35.1.F45","mRECIST","CR"
"467","CFI-400945","M35.1.F45","best.average.response","-42.3130"
"468","CFI-400945","M35.1.F45","slope","-72.5455"
"469","CFI-400945","M35.1.F45","AUC","94.0918"
"470","CFI-400945","M35.1.F45","survival","188.0000"
"471","WATER","M5.1.F46","mRECIST","PD"
"472","WATER","M5.1.F46","best.average.response","72.0306"
"473","WATER","M5.1.F46","slope","88.1304"
"474","WATER","M5.1.F46","AUC","570.6239"
"475","WATER","M5.1.F46","survival","40.0000"
"476","BMN673","M15.1.F46","mRECIST","SD"
