"","drug","model.id","response_type","value"
"2317","WATER","M5.1.F362","best.average.response","103.1068"
"2318","WATER","M5.1.F362","slope","88.9966"
"2319","WATER","M5.1.F362","AUC","713.8045"
"2320","WATER","M5.1.F362","survival","17.0000"
"2321","CFI-402257","M15.1.F362","mRECIST","PD"
"2322","CFI-402257","M15.1.F362","best.average.response","47.0601"
"2323","CFI-402257","M15.1.F362","slope","87.0645"
"2324","CFI-402257","M15.1.F362","AUC","437.9624"
"2325","CFI-402257","M15.1.F362","survival","20.0000"
"2326","TAXOL + CFI-402257","M25.1.F362","mRECIST","PD"
"2327","TAXOL + CFI-402257","M25.1.F362","best.average.response","55.5823"
"2328","TAXOL + CFI-402257","M25.1.F362","slope","88.5519"
"2329","TAXOL + CFI-402257","M25.1.F362","AUC","657.8362"
"2330","TAXOL + CFI-402257","M25.1.F362","survival","20.0000"
"2331","TAXOL + CFI-402257","M26.2.F362","mRECIST","PD"
"2332","TAXOL + CFI-402257","M26.2.F362","best.average.response","98.5995"
"2333","TAXOL + CFI-402257","M26.2.F362","slope","88.4121"
"2334","TAXOL + CFI-402257","M26.2.F362","AUC","565.0749"
"2335","TAXOL + CFI-402257","M26.2.F362","survival","20.0000"
"2336","TAXOL","M35.1.F362","mRECIST","PD"
"2337","TAXOL","M35.1.F362","best.average.response","73.4935"
"2338","TAXOL","M35.1.F362","slope","87.5679"
"2339","TAXOL","M35.1.F362","AUC","475.7153"
"2340","TAXOL","M35.1.F362","survival","20.0000"
"2341","TAXOL","M36.2.F362","mRECIST","SD"
"2342","TAXOL","M36.2.F362","best.average.response","-4.3863"
"2343","TAXOL","M36.2.F362","slope","87.1873"
"2344","TAXOL","M36.2.F362","AUC","390.4804"
"2345","TAXOL","M36.2.F362","survival","20.0000"
"2346","CDX-011","M45.1.F362","mRECIST","PD"
"2347","CDX-011","M45.1.F362","best.average.response","90.7669"
"2348","CDX-011","M45.1.F362","slope","88.6436"
"2349","CDX-011","M45.1.F362","AUC","578.4110"
"2350","CDX-011","M45.1.F362","survival","20.0000"
"2351","CDX-011","M46.2.F362","mRECIST","PD"
"2352","CDX-011","M46.2.F362","best.average.response","14.1587"
"2353","CDX-011","M46.2.F362","slope","89.0783"
"2354","CDX-011","M46.2.F362","AUC","831.3276"
"2355","CDX-011","M46.2.F362","survival","20.0000"
"2356","CFI-400945","M5.1.F364","mRECIST","SD"
"2357","CFI-400945","M5.1.F364","best.average.response","-33.1270"
"2358","CFI-400945","M5.1.F364","slope","-57.2602"
"2359","CFI-400945","M5.1.F364","AUC","84.7403"
"2360","CFI-400945","M5.1.F364","survival","48.0000"
"2361","TAXOL","M15.1.F364","mRECIST","PR"
"2362","TAXOL","M15.1.F364","best.average.response","-31.5241"
"2363","TAXOL","M15.1.F364","slope","-47.2105"
"2364","TAXOL","M15.1.F364","AUC","65.3529"
"2365","TAXOL","M15.1.F364","survival","80.0000"
"2366","CX5461 VEHICLE","M25.1.F364","mRECIST","PD"
"2367","CX5461 VEHICLE","M25.1.F364","best.average.response","27.7565"
"2368","CX5461 VEHICLE","M25.1.F364","slope","81.7358"
"2369","CX5461 VEHICLE","M25.1.F364","AUC","336.0200"
"2370","CX5461 VEHICLE","M25.1.F364","survival","73.0000"
"2371","CX5461","M35.1.F364","mRECIST","PR"
"2372","CX5461","M35.1.F364","best.average.response","-30.1979"
"2373","CX5461","M35.1.F364","slope","-70.2549"
"2374","CX5461","M35.1.F364","AUC","136.7217"
"2375","CX5461","M35.1.F364","survival","45.0000"
"2376","ERIBULIN","M45.1.F364","mRECIST","PR"
"2377","ERIBULIN","M45.1.F364","best.average.response","-45.3160"
"2378","ERIBULIN","M45.1.F364","slope","-72.6148"
"2379","ERIBULIN","M45.1.F364","AUC","99.2401"
"2380","ERIBULIN","M45.1.F364","survival","136.0000"
"2381","EVEROLIMUS","M55.1.F364","mRECIST","SD"
"2382","EVEROLIMUS","M55.1.F364","best.average.response","1.1018"
"2383","EVEROLIMUS","M55.1.F364","slope","60.6721"
"2384","EVEROLIMUS","M55.1.F364","AUC","198.0502"
"2385","EVEROLIMUS","M55.1.F364","survival","38.0000"
"2386","WATER","M5.1.F367","mRECIST","PD"
"2387","WATER","M5.1.F367","best.average.response","17.7315"
"2388","WATER","M5.1.F367","slope","85.8245"
"2389","WATER","M5.1.F367","AUC","346.6771"
"2390","WATER","M5.1.F367","survival","41.0000"
"2391","CFI-402257","M15.1.F367","mRECIST","CR"
"2392","CFI-402257","M15.1.F367","best.average.response","-48.8356"
"2393","CFI-402257","M15.1.F367","slope","-65.9298"
"2394","CFI-402257","M15.1.F367","AUC","41.1683"
"2395","CFI-402257","M15.1.F367","survival","122.0000"
"2396","CFI-402257","M25.1.F367","mRECIST","SD"
"2397","CFI-402257","M25.1.F367","best.average.response","-7.2530"
"2398","CFI-402257","M25.1.F367","slope","76.4008"
"2399","CFI-402257","M25.1.F367","AUC","152.2303"
"2400","CFI-402257","M25.1.F367","survival","31.0000"
"2401","BMN673","M35.1.F367","mRECIST","SD"
"2402","BMN673","M35.1.F367","best.average.response","5.4913"
"2403","BMN673","M35.1.F367","slope","56.8545"
"2404","BMN673","M35.1.F367","AUC","203.0095"
"2405","BMN673","M35.1.F367","survival","48.0000"
"2406","WATER","M5.1.F370","mRECIST","PD"
"2407","WATER","M5.1.F370","best.average.response","47.5706"
"2408","WATER","M5.1.F370","slope","86.8116"
"2409","WATER","M5.1.F370","AUC","499.7562"
"2410","WATER","M5.1.F370","survival","33.0000"
"2411","CFI-400945","M15.1.F370","mRECIST","PR"
"2412","CFI-400945","M15.1.F370","best.average.response","-48.1714"
"2413","CFI-400945","M15.1.F370","slope","-27.7182"
"2414","CFI-400945","M15.1.F370","AUC","158.4872"
"2415","CFI-400945","M15.1.F370","survival","124.0000"
"2416","CFI-402257","M25.1.F370","mRECIST","PD"
"2417","CFI-402257","M25.1.F370","best.average.response","56.1642"
"2418","CFI-402257","M25.1.F370","slope","88.5307"
"2419","CFI-402257","M25.1.F370","AUC","715.1842"
"2420","CFI-402257","M25.1.F370","survival","26.0000"
"2421","CFI-402257","M26.2.F370","mRECIST","PD"
"2422","CFI-402257","M26.2.F370","best.average.response","61.9109"
"2423","CFI-402257","M26.2.F370","slope","88.3786"
"2424","CFI-402257","M26.2.F370","AUC","676.0174"
"2425","CFI-402257","M26.2.F370","survival","26.0000"
"2426","TAXOL","M35.1.F370","mRECIST","SD"
"2427","TAXOL","M35.1.F370","best.average.response","13.6182"
"2428","TAXOL","M35.1.F370","slope","85.5547"
"2429","TAXOL","M35.1.F370","AUC","418.3235"
"2430","TAXOL","M35.1.F370","survival","33.0000"
"2431","TAXOL","M36.2.F370","mRECIST","SD"
"2432","TAXOL","M36.2.F370","best.average.response","-0.7678"
"2433","TAXOL","M36.2.F370","slope","-49.9316"
"2434","TAXOL","M36.2.F370","AUC","419.8153"
"2435","TAXOL","M36.2.F370","survival","33.0000"
"2436","TAXOL + CFI-402257","M45.1.F370","mRECIST","SD"
"2437","TAXOL + CFI-402257","M45.1.F370","best.average.response","2.1271"
"2438","TAXOL + CFI-402257","M45.1.F370","slope","80.9072"
"2439","TAXOL + CFI-402257","M45.1.F370","AUC","292.8240"
"2440","TAXOL + CFI-402257","M45.1.F370","survival","26.0000"
"2441","TAXOL + CFI-402257","M46.2.F370","mRECIST","SD"
"2442","TAXOL + CFI-402257","M46.2.F370","best.average.response","-0.4217"
"2443","TAXOL + CFI-402257","M46.2.F370","slope","80.9056"
"2444","TAXOL + CFI-402257","M46.2.F370","AUC","317.3533"
"2445","TAXOL + CFI-402257","M46.2.F370","survival","26.0000"
"2446","CFI-400945","M5.1.F371","mRECIST","SD"
"2447","CFI-400945","M5.1.F371","best.average.response","-7.0273"
"2448","CFI-400945","M5.1.F371","slope","-58.0018"
"2449","CFI-400945","M5.1.F371","AUC","248.3823"
"2450","CFI-400945","M5.1.F371","survival","90.0000"
"2451","CFI-400945","M15.1.F371","mRECIST","CR"
"2452","CFI-400945","M15.1.F371","best.average.response","-56.2726"
"2453","CFI-400945","M15.1.F371","slope","-69.9390"
"2454","CFI-400945","M15.1.F371","AUC","48.5797"
"2455","CFI-400945","M15.1.F371","survival","168.0000"
"2456","CFI-400945","M5.1.F374","mRECIST","PD"
"2457","CFI-400945","M5.1.F374","best.average.response","13.8055"
"2458","CFI-400945","M5.1.F374","slope","81.7976"
"2459","CFI-400945","M5.1.F374","AUC","276.3878"
"2460","CFI-400945","M5.1.F374","survival","56.0000"
"2461","BMN673","M15.1.F374","mRECIST","PD"
"2462","BMN673","M15.1.F374","best.average.response","28.6464"
"2463","BMN673","M15.1.F374","slope","80.6926"
"2464","BMN673","M15.1.F374","AUC","386.1819"
"2465","BMN673","M15.1.F374","survival","34.0000"
"2466","CX5461","M5.1.F375","mRECIST",NA
"2467","CX5461","M5.1.F375","best.average.response","NA"
"2468","CX5461","M5.1.F375","slope","88.4492"
"2469","CX5461","M5.1.F375","AUC","439.6928"
"2470","CX5461","M5.1.F375","survival","13.0000"
"2471","TAXOL + CFI-402257","M5.1.F376","mRECIST","PD"
"2472","TAXOL + CFI-402257","M5.1.F376","best.average.response","41.5294"
"2473","TAXOL + CFI-402257","M5.1.F376","slope","87.4895"
"2474","TAXOL + CFI-402257","M5.1.F376","AUC","560.5917"
"2475","TAXOL + CFI-402257","M5.1.F376","survival","43.0000"
"2476","CARBOPLATIN","M5.1.F377","mRECIST","PD"
"2477","CARBOPLATIN","M5.1.F377","best.average.response","81.7320"
"2478","CARBOPLATIN","M5.1.F377","slope","85.5822"
"2479","CARBOPLATIN","M5.1.F377","AUC","732.8309"
"2480","CARBOPLATIN","M5.1.F377","survival","55.0000"
"2481","BMN673","M15.1.F377","mRECIST","SD"
"2482","BMN673","M15.1.F377","best.average.response","18.8086"
"2483","BMN673","M15.1.F377","slope","85.6721"
"2484","BMN673","M15.1.F377","AUC","625.6519"
"2485","BMN673","M15.1.F377","survival","48.0000"
"2486","WATER","M5.1.F378","mRECIST","PD"
"2487","WATER","M5.1.F378","best.average.response","72.6418"
"2488","WATER","M5.1.F378","slope","88.4828"
"2489","WATER","M5.1.F378","AUC","724.6880"
"2490","WATER","M5.1.F378","survival","34.0000"
"2491","WATER","M5.1.F379","mRECIST","PD"
"2492","WATER","M5.1.F379","best.average.response","88.2872"
"2493","WATER","M5.1.F379","slope","85.8347"
"2494","WATER","M5.1.F379","AUC","448.3110"
"2495","WATER","M5.1.F379","survival","53.0000"
"2496","CFI-400945","M15.1.F379","mRECIST","PR"
"2497","CFI-400945","M15.1.F379","best.average.response","-24.8070"
"2498","CFI-400945","M15.1.F379","slope","-60.5923"
"2499","CFI-400945","M15.1.F379","AUC","128.2378"
"2500","CFI-400945","M15.1.F379","survival","194.0000"
"2501","CFI-402257","M25.1.F379","mRECIST","SD"
"2502","CFI-402257","M25.1.F379","best.average.response","-3.9102"
"2503","CFI-402257","M25.1.F379","slope","80.5009"
"2504","CFI-402257","M25.1.F379","AUC","247.9842"
"2505","CFI-402257","M25.1.F379","survival","47.0000"
"2506","TAXOL","M35.1.F379","mRECIST","SD"
"2507","TAXOL","M35.1.F379","best.average.response","-8.8844"
"2508","TAXOL","M35.1.F379","slope","78.8555"
"2509","TAXOL","M35.1.F379","AUC","215.2026"
"2510","TAXOL","M35.1.F379","survival","47.0000"
"2511","ERIBULIN","M45.1.F379","mRECIST","PD"
"2512","ERIBULIN","M45.1.F379","best.average.response","25.9366"
"2513","ERIBULIN","M45.1.F379","slope","84.7590"
"2514","ERIBULIN","M45.1.F379","AUC","449.2726"
"2515","ERIBULIN","M45.1.F379","survival","33.0000"
"2516","TAXOL","M5.1.F380","mRECIST","SD"
"2517","TAXOL","M5.1.F380","best.average.response","17.2956"
"2518","TAXOL","M5.1.F380","slope","72.0975"
"2519","TAXOL","M5.1.F380","AUC","250.9562"
"2520","TAXOL","M5.1.F380","survival","71.0000"
"2521","TAXOL","M5.1.F381","mRECIST","SD"
"2522","TAXOL","M5.1.F381","best.average.response","-1.0768"
"2523","TAXOL","M5.1.F381","slope","-10.7903"
"2524","TAXOL","M5.1.F381","AUC","162.4656"
"2525","TAXOL","M5.1.F381","survival","147.0000"
"2526","WATER","M5.1.F382","mRECIST","SD"
"2527","WATER","M5.1.F382","best.average.response","4.3727"
"2528","WATER","M5.1.F382","slope","75.3921"
"2529","WATER","M5.1.F382","AUC","240.9702"
"2530","WATER","M5.1.F382","survival","91.0000"
"2531","CX5461 VEHICLE","M15.1.F382","mRECIST","SD"
"2532","CX5461 VEHICLE","M15.1.F382","best.average.response","2.3567"
"2533","CX5461 VEHICLE","M15.1.F382","slope","63.8627"
"2534","CX5461 VEHICLE","M15.1.F382","AUC","132.3643"
"2535","CX5461 VEHICLE","M15.1.F382","survival","48.0000"
"2536","CX5461","M25.1.F382","mRECIST","SD"
"2537","CX5461","M25.1.F382","best.average.response","3.2467"
"2538","CX5461","M25.1.F382","slope","78.0190"
"2539","CX5461","M25.1.F382","AUC","306.6599"
"2540","CX5461","M25.1.F382","survival","48.0000"
"2541","WATER","M5.1.F383","mRECIST","PD"
"2542","WATER","M5.1.F383","best.average.response","139.4875"
"2543","WATER","M5.1.F383","slope","88.8104"
"2544","WATER","M5.1.F383","AUC","722.8286"
"2545","WATER","M5.1.F383","survival","19.0000"
"2546","CFI-402257","M15.2.F383","mRECIST","PD"
"2547","CFI-402257","M15.2.F383","best.average.response","70.1095"
"2548","CFI-402257","M15.2.F383","slope","87.2284"
"2549","CFI-402257","M15.2.F383","AUC","423.4983"
"2550","CFI-402257","M15.2.F383","survival","19.0000"
"2551","CFI-402257","M5.1.F384","mRECIST","SD"
"2552","CFI-402257","M5.1.F384","best.average.response","5.4679"
"2553","CFI-402257","M5.1.F384","slope","72.8576"
"2554","CFI-402257","M5.1.F384","AUC","216.5418"
"2555","CFI-402257","M5.1.F384","survival","47.0000"
"2556","BMN673","M15.1.F384","mRECIST","PR"
"2557","BMN673","M15.1.F384","best.average.response","-30.8881"
"2558","BMN673","M15.1.F384","slope","-71.4534"
"2559","BMN673","M15.1.F384","AUC","147.1095"
"2560","BMN673","M15.1.F384","survival","69.0000"
"2561","BMN673","M5.1.F386","mRECIST","PR"
"2562","BMN673","M5.1.F386","best.average.response","-34.6165"
"2563","BMN673","M5.1.F386","slope","-54.3258"
"2564","BMN673","M5.1.F386","AUC","88.7864"
"2565","BMN673","M5.1.F386","survival","86.0000"
"2566","ERIBULIN","M5.1.F387","mRECIST","SD"
"2567","ERIBULIN","M5.1.F387","best.average.response","15.3709"
"2568","ERIBULIN","M5.1.F387","slope","85.0518"
"2569","ERIBULIN","M5.1.F387","AUC","437.3152"
"2570","ERIBULIN","M5.1.F387","survival","34.0000"
"2571","TAXOL VEHICLE","M5.1.F388","mRECIST","PD"
"2572","TAXOL VEHICLE","M5.1.F388","best.average.response","12.7045"
"2573","TAXOL VEHICLE","M5.1.F388","slope","81.7462"
"2574","TAXOL VEHICLE","M5.1.F388","AUC","204.3777"
"2575","TAXOL VEHICLE","M5.1.F388","survival","20.0000"
"2576","TAXOL","M15.1.F388","mRECIST","CR"
"2577","TAXOL","M15.1.F388","best.average.response","-61.3259"
"2578","TAXOL","M15.1.F388","slope","-74.2949"
"2579","TAXOL","M15.1.F388","AUC","33.1454"
"2580","TAXOL","M15.1.F388","survival","212.0000"
"2581","TAXOL","M5.1.F389","mRECIST","CR"
"2582","TAXOL","M5.1.F389","best.average.response","-49.8080"
"2583","TAXOL","M5.1.F389","slope","-80.9076"
"2584","TAXOL","M5.1.F389","AUC","81.3218"
"2585","TAXOL","M5.1.F389","survival","181.0000"
"2586","TAXOL","M6.2.F389","mRECIST","CR"
"2587","TAXOL","M6.2.F389","best.average.response","-59.5124"
"2588","TAXOL","M6.2.F389","slope","-74.2994"
"2589","TAXOL","M6.2.F389","AUC","33.6710"
"2590","TAXOL","M6.2.F389","survival","204.0000"
"2591","ERIBULIN","M15.1.F389","mRECIST","CR"
"2592","ERIBULIN","M15.1.F389","best.average.response","-60.3236"
"2593","ERIBULIN","M15.1.F389","slope","-80.4033"
"2594","ERIBULIN","M15.1.F389","AUC","44.9831"
"2595","ERIBULIN","M15.1.F389","survival","218.0000"
"2596","TAXOL","M5.1.F391","mRECIST","SD"
"2597","TAXOL","M5.1.F391","best.average.response","5.8131"
"2598","TAXOL","M5.1.F391","slope","84.6080"
"2599","TAXOL","M5.1.F391","AUC","318.7707"
"2600","TAXOL","M5.1.F391","survival","42.0000"
"2601","CARBOPLATIN","M5.1.F393","mRECIST","PD"
"2602","CARBOPLATIN","M5.1.F393","best.average.response","66.1028"
"2603","CARBOPLATIN","M5.1.F393","slope","84.7050"
"2604","CARBOPLATIN","M5.1.F393","AUC","461.0564"
"2605","CARBOPLATIN","M5.1.F393","survival","49.0000"
"2606","ERIBULIN","M5.1.F394","mRECIST","SD"
"2607","ERIBULIN","M5.1.F394","best.average.response","8.8688"
"2608","ERIBULIN","M5.1.F394","slope","86.6852"
"2609","ERIBULIN","M5.1.F394","AUC","394.1529"
"2610","ERIBULIN","M5.1.F394","survival","36.0000"
"2611","CARBOPLATIN","M15.1.F394","mRECIST","PR"
"2612","CARBOPLATIN","M15.1.F394","best.average.response","-21.7430"
"2613","CARBOPLATIN","M15.1.F394","slope","-30.1907"
"2614","CARBOPLATIN","M15.1.F394","AUC","209.9847"
"2615","CARBOPLATIN","M15.1.F394","survival","113.0000"
"2616","EVEROLIMUS","M5.1.F395","mRECIST","PR"
"2617","EVEROLIMUS","M5.1.F395","best.average.response","-60.9211"
"2618","EVEROLIMUS","M5.1.F395","slope","-68.2822"
"2619","EVEROLIMUS","M5.1.F395","AUC","43.4035"
"2620","EVEROLIMUS","M5.1.F395","survival","321.0000"
"2621","CFI-400945","M5.1.F397","mRECIST","PR"
"2622","CFI-400945","M5.1.F397","best.average.response","-27.6557"
"2623","CFI-400945","M5.1.F397","slope","-62.1223"
"2624","CFI-400945","M5.1.F397","AUC","99.6565"
"2625","CFI-400945","M5.1.F397","survival","210.0000"
"2626","CFI-400945","M6.2.F397","mRECIST","CR"
"2627","CFI-400945","M6.2.F397","best.average.response","-49.1607"
"2628","CFI-400945","M6.2.F397","slope","-67.8586"
"2629","CFI-400945","M6.2.F397","AUC","51.0851"
"2630","CFI-400945","M6.2.F397","survival","258.0000"
"2631","WATER","M5.1.F400","mRECIST","PD"
"2632","WATER","M5.1.F400","best.average.response","29.2293"
"2633","WATER","M5.1.F400","slope","79.4170"
"2634","WATER","M5.1.F400","AUC","272.9210"
"2635","WATER","M5.1.F400","survival","133.0000"
"2636","CFI-400945","M15.1.F400","mRECIST","SD"
"2637","CFI-400945","M15.1.F400","best.average.response","-8.2734"
"2638","CFI-400945","M15.1.F400","slope","73.2824"
"2639","CFI-400945","M15.1.F400","AUC","187.4222"
"2640","CFI-400945","M15.1.F400","survival","34.0000"
"2641","CFI-400945","M5.1.F401","mRECIST","CR"
"2642","CFI-400945","M5.1.F401","best.average.response","-53.5495"
"2643","CFI-400945","M5.1.F401","slope","-76.7476"
"2644","CFI-400945","M5.1.F401","AUC","63.9584"
"2645","CFI-400945","M5.1.F401","survival","34.0000"
"2646","BMN673","M5.1.F403","mRECIST","SD"
"2647","BMN673","M5.1.F403","best.average.response","-5.0113"
"2648","BMN673","M5.1.F403","slope","61.4207"
"2649","BMN673","M5.1.F403","AUC","201.5842"
"2650","BMN673","M5.1.F403","survival","40.0000"
"2651","CARBOPLATIN","M5.1.F404","mRECIST","SD"
"2652","CARBOPLATIN","M5.1.F404","best.average.response","18.6115"
"2653","CARBOPLATIN","M5.1.F404","slope","80.2470"
"2654","CARBOPLATIN","M5.1.F404","AUC","332.0990"
"2655","CARBOPLATIN","M5.1.F404","survival","35.0000"
"2656","CDX-011","M5.1.F405","mRECIST","CR"
"2657","CDX-011","M5.1.F405","best.average.response","-43.2627"
"2658","CDX-011","M5.1.F405","slope","-63.9982"
"2659","CDX-011","M5.1.F405","AUC","74.4849"
"2660","CDX-011","M5.1.F405","survival","162.0000"
"2661","CFI-400945","M5.1.F407","mRECIST","PD"
"2662","CFI-400945","M5.1.F407","best.average.response","26.5594"
"2663","CFI-400945","M5.1.F407","slope","84.9021"
"2664","CFI-400945","M5.1.F407","AUC","481.1738"
"2665","CFI-400945","M5.1.F407","survival","61.0000"
"2666","CFI-402257","M5.1.F408","mRECIST","PR"
"2667","CFI-402257","M5.1.F408","best.average.response","-25.1475"
"2668","CFI-402257","M5.1.F408","slope","-59.2711"
"2669","CFI-402257","M5.1.F408","AUC","65.5254"
"2670","CFI-402257","M5.1.F408","survival","300.0000"
"2671","CFI-400945","M5.1.F409","mRECIST","PD"
"2672","CFI-400945","M5.1.F409","best.average.response","29.6518"
"2673","CFI-400945","M5.1.F409","slope","79.1593"
"2674","CFI-400945","M5.1.F409","AUC","258.3744"
"2675","CFI-400945","M5.1.F409","survival","54.0000"
"2676","TAXOL","M15.1.F409","mRECIST","CR"
"2677","TAXOL","M15.1.F409","best.average.response","-81.7496"
"2678","TAXOL","M15.1.F409","slope","-74.7110"
"2679","TAXOL","M15.1.F409","AUC","14.6132"
"2680","TAXOL","M15.1.F409","survival","223.0000"
"2681","WATER","M5.1.F410","mRECIST","PD"
"2682","WATER","M5.1.F410","best.average.response","191.0351"
"2683","WATER","M5.1.F410","slope","88.3612"
"2684","WATER","M5.1.F410","AUC","711.2768"
"2685","WATER","M5.1.F410","survival","34.0000"
"2686","WATER","M6.2.F410","mRECIST","PD"
"2687","WATER","M6.2.F410","best.average.response","106.3147"
"2688","WATER","M6.2.F410","slope","88.4713"
"2689","WATER","M6.2.F410","AUC","755.1510"
"2690","WATER","M6.2.F410","survival","34.0000"
"2691","CFI-400945","M15.1.F410","mRECIST","PD"
"2692","CFI-400945","M15.1.F410","best.average.response","57.3604"
"2693","CFI-400945","M15.1.F410","slope","87.2811"
"2694","CFI-400945","M15.1.F410","AUC","646.3020"
"2695","CFI-400945","M15.1.F410","survival","27.0000"
"2696","CFI-400945","M16.2.F410","mRECIST","PD"
"2697","CFI-400945","M16.2.F410","best.average.response","61.7693"
"2698","CFI-400945","M16.2.F410","slope","88.1295"
"2699","CFI-400945","M16.2.F410","AUC","675.6036"
"2700","CFI-400945","M16.2.F410","survival","27.0000"
"2701","CFI-400945","M17.3.F410","mRECIST","PD"
"2702","CFI-400945","M17.3.F410","best.average.response","121.8210"
"2703","CFI-400945","M17.3.F410","slope","88.1961"
"2704","CFI-400945","M17.3.F410","AUC","571.0324"
"2705","CFI-400945","M17.3.F410","survival","27.0000"
"2706","WATER","M5.1.F411","mRECIST","PD"
"2707","WATER","M5.1.F411","best.average.response","20.9166"
"2708","WATER","M5.1.F411","slope","84.1746"
"2709","WATER","M5.1.F411","AUC","453.2373"
"2710","WATER","M5.1.F411","survival","21.0000"
"2711","CFI-400945","M15.1.F411","mRECIST","PR"
"2712","CFI-400945","M15.1.F411","best.average.response","-48.0230"
"2713","CFI-400945","M15.1.F411","slope","-21.6238"
"2714","CFI-400945","M15.1.F411","AUC","180.2105"
"2715","CFI-400945","M15.1.F411","survival","48.0000"
"2716","CFI-402257","M25.1.F411","mRECIST","PD"
"2717","CFI-402257","M25.1.F411","best.average.response","10.2239"
"2718","CFI-402257","M25.1.F411","slope","84.7722"
"2719","CFI-402257","M25.1.F411","AUC","234.7329"
"2720","CFI-402257","M25.1.F411","survival","21.0000"
"2721","BMN673","M35.1.F411","mRECIST","SD"
"2722","BMN673","M35.1.F411","best.average.response","-18.9965"
"2723","BMN673","M35.1.F411","slope","87.8291"
"2724","BMN673","M35.1.F411","AUC","752.2025"
"2725","BMN673","M35.1.F411","survival","21.0000"
"2726","CFI-400945","M45.1.F411","mRECIST","SD"
"2727","CFI-400945","M45.1.F411","best.average.response","9.3181"
"2728","CFI-400945","M45.1.F411","slope","80.3415"
"2729","CFI-400945","M45.1.F411","AUC","450.1851"
"2730","CFI-400945","M45.1.F411","survival","21.0000"
"2731","ERIBULIN","M5.1.F412","mRECIST","CR"
"2732","ERIBULIN","M5.1.F412","best.average.response","-58.5917"
"2733","ERIBULIN","M5.1.F412","slope","-65.0466"
"2734","ERIBULIN","M5.1.F412","AUC","32.0659"
"2735","ERIBULIN","M5.1.F412","survival","307.0000"
"2736","WATER","M5.1.F414","mRECIST","PD"
"2737","WATER","M5.1.F414","best.average.response","14.5737"
"2738","WATER","M5.1.F414","slope","79.0575"
"2739","WATER","M5.1.F414","AUC","214.7870"
"2740","WATER","M5.1.F414","survival","47.0000"
"2741","ERIBULIN","M15.1.F414","mRECIST","SD"
"2742","ERIBULIN","M15.1.F414","best.average.response","1.8012"
"2743","ERIBULIN","M15.1.F414","slope","-28.2353"
"2744","ERIBULIN","M15.1.F414","AUC","127.0201"
"2745","ERIBULIN","M15.1.F414","survival","47.0000"
"2746","CARBOPLATIN","M35.1.F414","mRECIST","SD"
"2747","CARBOPLATIN","M35.1.F414","best.average.response","10.2622"
"2748","CARBOPLATIN","M35.1.F414","slope","30.9645"
"2749","CARBOPLATIN","M35.1.F414","AUC","135.4000"
"2750","CARBOPLATIN","M35.1.F414","survival","18.0000"
"2751","CDX-011","M45.1.F414","mRECIST","SD"
"2752","CDX-011","M45.1.F414","best.average.response","15.4551"
"2753","CDX-011","M45.1.F414","slope","75.5289"
"2754","CDX-011","M45.1.F414","AUC","232.2912"
"2755","CDX-011","M45.1.F414","survival","25.0000"
"2756","TAXOL","M55.1.F414","mRECIST","SD"
"2757","TAXOL","M55.1.F414","best.average.response","25.0915"
"2758","TAXOL","M55.1.F414","slope","54.0614"
"2759","TAXOL","M55.1.F414","AUC","190.1011"
"2760","TAXOL","M55.1.F414","survival","53.0000"
"2761","CX5461","M5.1.F415","mRECIST","PD"
"2762","CX5461","M5.1.F415","best.average.response","32.3058"
"2763","CX5461","M5.1.F415","slope","88.5044"
"2764","CX5461","M5.1.F415","AUC","878.3866"
"2765","CX5461","M5.1.F415","survival","17.0000"
"2766","WATER","M5.1.F416","mRECIST","SD"
"2767","WATER","M5.1.F416","best.average.response","1.6924"
"2768","WATER","M5.1.F416","slope","76.9261"
"2769","WATER","M5.1.F416","AUC","231.8432"
"2770","WATER","M5.1.F416","survival","90.0000"
"2771","WATER","M5.1.F417","mRECIST","SD"
"2772","WATER","M5.1.F417","best.average.response","24.4895"
"2773","WATER","M5.1.F417","slope","44.0096"
"2774","WATER","M5.1.F417","AUC","139.1161"
"2775","WATER","M5.1.F417","survival","61.0000"
"2776","CFI-400945","M15.1.F417","mRECIST","PR"
"2777","CFI-400945","M15.1.F417","best.average.response","-44.5826"
"2778","CFI-400945","M15.1.F417","slope","-62.7526"
"2779","CFI-400945","M15.1.F417","AUC","82.6860"
"2780","CFI-400945","M15.1.F417","survival","126.0000"
"2781","TAXOL","M25.1.F417","mRECIST","SD"
"2782","TAXOL","M25.1.F417","best.average.response","14.0103"
"2783","TAXOL","M25.1.F417","slope","50.7447"
"2784","TAXOL","M25.1.F417","AUC","138.3439"
"2785","TAXOL","M25.1.F417","survival","43.0000"
"2786","TAXOL + CFI-402257","M5.1.F419","mRECIST","PR"
"2787","TAXOL + CFI-402257","M5.1.F419","best.average.response","-31.8184"
"2788","TAXOL + CFI-402257","M5.1.F419","slope","-28.2570"
"2789","TAXOL + CFI-402257","M5.1.F419","AUC","101.0786"
"2790","TAXOL + CFI-402257","M5.1.F419","survival","112.0000"
"2791","ERIBULIN","M15.1.F419","mRECIST","PD"
"2792","ERIBULIN","M15.1.F419","best.average.response","57.0443"
"2793","ERIBULIN","M15.1.F419","slope","87.7285"
"2794","ERIBULIN","M15.1.F419","AUC","485.6883"
"2795","ERIBULIN","M15.1.F419","survival","27.0000"
"2796","TAXOL","M5.1.F420","mRECIST","SD"
