"","model.id","biobase.id","mDataType"
"X5E248","M5.1.F310","82577","RNASeq"
"X5E249","M5.1.F312","REF006","RNASeq"
"X15E147","M15.1.F312","REF006","RNASeq"
"X5E250","M5.1.F313","REF005","RNASeq"
"X15E148","M15.1.F313","REF005","RNASeq"
"X25E65","M25.1.F313","REF005","RNASeq"
"X35E35","M35.1.F313","REF005","RNASeq"
"X45E16","M45.1.F313","REF005","RNASeq"
"X15E150","M15.1.F316","NOTCH1_P4","RNASeq"
"X16H7","M16.2.F316","NOTCH1_P4","RNASeq"
"X5E253","M5.1.F317","241417","RNASeq"
"X5E254","M5.1.F318","NOTCH1_P4","RNASeq"
"X15E151","M15.1.F318","NOTCH1_P4","RNASeq"
"X5E255","M5.1.F319","73230","RNASeq"
"X15E152","M15.1.F319","73230","RNASeq"
"X25E66","M25.1.F319","73230","RNASeq"
"X5E256","M5.1.F320","241417","RNASeq"
"X15E153","M15.1.F320","241417","RNASeq"
"X25E67","M25.1.F320","241417","RNASeq"
"X5E258","M5.1.F322","73263","RNASeq"
"X5E259","M5.1.F323","73263","RNASeq"
"X25E68","M25.1.F324","REF022","RNASeq"
"X35E36","M35.1.F324","REF022","RNASeq"
"X45E17","M45.1.F324","REF022","RNASeq"
"X5E261","M5.1.F325",NA,"RNASeq"
"X5E262","M5.1.F326","241417","RNASeq"
"X5E263","M5.1.F327","69196","RNASeq"
"X5E264","M5.1.F328",NA,"RNASeq"
"X6E9","M6.2.F328",NA,"RNASeq"
"X5E265","M5.1.F329",NA,"RNASeq"
"X15E155","M15.2.F329",NA,"RNASeq"
"X25E69","M25.1.F329",NA,"RNASeq"
"X5E266","M5.1.F330","82577","RNASeq"
"X15E156","M15.1.F330","82577","RNASeq"
"X5E267","M5.1.F331","73263","RNASeq"
"X15E157","M15.1.F331","73263","RNASeq"
"X25E70","M25.1.F331","73263","RNASeq"
"X35E37","M35.1.F331","73263","RNASeq"
"X45E18","M45.1.F331","73263","RNASeq"
"X5E269","M5.1.F334","73471","RNASeq"
"X15E159","M15.1.F334","73471","RNASeq"
"X35E38","M35.1.F334","73471","RNASeq"
"X5E270","M5.1.F335","NOTCH06_PM","RNASeq"
"X15E160","M15.1.F335","NOTCH06_PM","RNASeq"
"X5E271","M5.1.F336",NA,"RNASeq"
"X5E273","M5.1.F338","REF014","RNASeq"
"X15E162","M15.1.F338","REF014","RNASeq"
"X25E73","M25.1.F338","REF014","RNASeq"
"X5E275","M5.1.F340","82577","RNASeq"
"X15E163","M15.1.F340","82577","RNASeq"
"X5E276","M5.1.F342","REF009","RNASeq"
"X15E164","M15.2.F342","REF009","RNASeq"
"X25E74","M25.1.F342","REF009","RNASeq"
"X35E39","M35.1.F342","REF009","RNASeq"
"X45E19","M45.1.F342","REF009","RNASeq"
"X5E277","M5.1.F343","241417","RNASeq"
"X15E165","M15.1.F343","241417","RNASeq"
"X5E281","M5.1.F347","REF004","RNASeq"
"X6E10","M6.2.F347","REF004","RNASeq"
"X15E168","M15.1.F347","REF004","RNASeq"
"X16E7","M16.2.F347","REF004","RNASeq"
"X25E75","M25.1.F347","REF004","RNASeq"
"X5E282","M5.1.F348","69196","RNASeq"
"X15E169","M15.1.F348","69196","RNASeq"
"X25E76","M25.1.F348","69196","RNASeq"
"X35E40","M35.1.F348","69196","RNASeq"
"X5E283","M5.1.F349","48041","RNASeq"
"X15E170","M15.1.F349","48041","RNASeq"
"X5E284","M5.1.F350","REF003","RNASeq"
"X15E171","M15.1.F350","REF003","RNASeq"
"X25E77","M25.1.F350","REF003","RNASeq"
"X35E41","M35.1.F350","REF003","RNASeq"
"X5E285","M5.1.F351","241417","RNASeq"
"X15E172","M15.1.F351","241417","RNASeq"
"X5E286","M5.1.F352","REF005","RNASeq"
"X15E173","M15.1.F352","REF005","RNASeq"
"X5E287","M5.1.F353","INS-B-019","RNASeq"
"X15E174","M15.1.F353","INS-B-019","RNASeq"
"X25E78","M25.1.F353","INS-B-019","RNASeq"
"X35E42","M35.1.F353","INS-B-019","RNASeq"
"X5E288","M5.1.F354","73230","RNASeq"
"X5E290","M5.1.F356","NOTCHB01_P3","RNASeq"
"X15E176","M15.1.F356","NOTCHB01_P3","RNASeq"
"X5E291","M5.1.F357",NA,"RNASeq"
"X15E177","M15.1.F357",NA,"RNASeq"
"X16E9","M16.2.F357",NA,"RNASeq"
"X25E80","M25.1.F357",NA,"RNASeq"
"X26E7","M26.2.F357",NA,"RNASeq"
"X35E44","M35.1.F357",NA,"RNASeq"
"X36E2","M36.2.F357",NA,"RNASeq"
"X45E21","M45.1.F357",NA,"RNASeq"
"X46E2","M46.2.F357",NA,"RNASeq"
"X5E292","M5.1.F358","REF005","RNASeq"
"X15E178","M15.1.F358","REF005","RNASeq"
"X25E81","M25.1.F358","REF005","RNASeq"
"X35E45","M35.1.F358","REF005","RNASeq"
"X5E293","M5.1.F359","71335","RNASeq"
"X15E179","M15.1.F359","71335","RNASeq"
"X16E10","M16.2.F359","71335","RNASeq"
"X5E295","M5.1.F361","REF007","RNASeq"
"X5E296","M5.1.F362","REF004","RNASeq"
"X15E181","M15.1.F362","REF004","RNASeq"
"X25E83","M25.1.F362","REF004","RNASeq"
"X26E9","M26.2.F362","REF004","RNASeq"
"X35E47","M35.1.F362","REF004","RNASeq"
"X36E4","M36.2.F362","REF004","RNASeq"
"X45E23","M45.1.F362","REF004","RNASeq"
"X46E4","M46.2.F362","REF004","RNASeq"
"X5E298","M5.1.F364","66817","RNASeq"
"X15E182","M15.1.F364","66817","RNASeq"
"X25E84","M25.1.F364","66817","RNASeq"
"X35E48","M35.1.F364","66817","RNASeq"
"X45E24","M45.1.F364","66817","RNASeq"
"X55E7","M55.1.F364","66817","RNASeq"
"X5E301","M5.1.F367","REF016","RNASeq"
"X15E185","M15.1.F367","REF016","RNASeq"
"X25E85","M25.1.F367","REF016","RNASeq"
"X35E49","M35.1.F367","REF016","RNASeq"
"X5E303","M5.1.F370","REF016","RNASeq"
"X15E187","M15.1.F370","REF016","RNASeq"
"X25E86","M25.1.F370","REF016","RNASeq"
"X26E11","M26.2.F370","REF016","RNASeq"
"X35E51","M35.1.F370","REF016","RNASeq"
"X36E5","M36.2.F370","REF016","RNASeq"
"X45E25","M45.1.F370","REF016","RNASeq"
"X46E5","M46.2.F370","REF016","RNASeq"
"X5E304","M5.1.F371","48602","RNASeq"
"X15E188","M15.1.F371","48602","RNASeq"
"X5E307","M5.1.F374","REF005","RNASeq"
"X15E190","M15.1.F374","REF005","RNASeq"
"X5E308","M5.1.F375","82577","RNASeq"
"X5E309","M5.1.F376","REF007","RNASeq"
"X5E310","M5.1.F377","REF016","RNASeq"
"X15E191","M15.1.F377","REF016","RNASeq"
"X5E311","M5.1.F378",NA,"RNASeq"
"X5E312","M5.1.F379","REF006","RNASeq"
"X15E192","M15.1.F379","REF006","RNASeq"
"X25E88","M25.1.F379","REF006","RNASeq"
"X35E53","M35.1.F379","REF006","RNASeq"
"X45E26","M45.1.F379","REF006","RNASeq"
"X5E313","M5.1.F380","REF005","RNASeq"
"X5E314","M5.1.F381","REF002","RNASeq"
"X5E315","M5.1.F382","REF022","RNASeq"
"X15E193","M15.1.F382","REF022","RNASeq"
"X25E89","M25.1.F382","REF022","RNASeq"
"X5E316","M5.1.F383","NOTCH06_PM","RNASeq"
"X15E194","M15.2.F383","NOTCH06_PM","RNASeq"
"X5E317","M5.1.F384","47904","RNASeq"
"X15E195","M15.1.F384","47904","RNASeq"
"X5E319","M5.1.F386","48602","RNASeq"
"X5E320","M5.1.F387",NA,"RNASeq"
"X5E321","M5.1.F388","69196","RNASeq"
"X15E197","M15.1.F388","69196","RNASeq"
"X5E322","M5.1.F389","REF007","RNASeq"
"X6E14","M6.2.F389","REF007","RNASeq"
"X15E198","M15.1.F389","REF007","RNASeq"
"X5E324","M5.1.F391","INS-B-019","RNASeq"
"X5E326","M5.1.F393","REF022","RNASeq"
"X5E327","M5.1.F394","REF016","RNASeq"
"X15E200","M15.1.F394","REF016","RNASeq"
"X5E328","M5.1.F395","REF003","RNASeq"
"X5E330","M5.1.F397",NA,"RNASeq"
"X6E15","M6.2.F397",NA,"RNASeq"
"X5E333","M5.1.F400","INS-B-019","RNASeq"
"X15E202","M15.1.F400","INS-B-019","RNASeq"
"X5E334","M5.1.F401","INS-B-019","RNASeq"
"X5E336","M5.1.F403","NOTCH06_PM","RNASeq"
"X5E337","M5.1.F404","241417","RNASeq"
"X5E338","M5.1.F405","NOTCHB02_P6","RNASeq"
"X5E340","M5.1.F407","241417","RNASeq"
