"","batch.id","response_type","value"
"162","NOTCH10.CFI-400945","TGI","-89.2034"
"163","NOTCH10.CFI-402257","angle","32.6609"
"164","NOTCH10.CFI-402257","abc","172.8537"
"165","NOTCH10.CFI-402257","TGI","-100.8889"
"166","NOTCH10.BMN673","angle","37.1918"
"167","NOTCH10.BMN673","abc","181.3746"
"168","NOTCH10.BMN673","TGI","-91.2892"
"169","NOTCH10.ERIBULIN","angle","153.9243"
"170","NOTCH10.ERIBULIN","abc","290.8668"
"171","NOTCH10.ERIBULIN","TGI","1318.8964"
"172","68941.CFI-402257","angle","136.0818"
"173","68941.CFI-402257","abc","27.2976"
"174","68941.CFI-402257","TGI","-0.6254"
"175","68941.CX5461","angle","44.0362"
"176","68941.CX5461","abc","-107.7499"
"177","68941.CX5461","TGI","2.2962"
"178","68941.CDX-011","angle","60.0067"
"179","68941.CDX-011","abc","60.5848"
"180","68941.CDX-011","TGI","7.2500"
"181","68941.TAXOL + CFI-402257","angle","-49.2190"
"182","68941.TAXOL + CFI-402257","abc","-194.3270"
"183","68941.TAXOL + CFI-402257","TGI","6.2449"
"184","73263.TAXOL VEHICLE","angle","-0.1022"
"185","73263.TAXOL VEHICLE","abc","120.8418"
"186","73263.TAXOL VEHICLE","TGI","1.7077"
"187","73263.TAXOL + CFI-402257","angle","162.5321"
"188","73263.TAXOL + CFI-402257","abc","616.2624"
"189","73263.TAXOL + CFI-402257","TGI","17.4558"
"190","73263.TAXOL","angle","163.0467"
"191","73263.TAXOL","abc","564.3959"
"192","73263.TAXOL","TGI","252.7145"
"193","73263.BMN673","angle","142.4262"
"194","73263.BMN673","abc","511.6413"
"195","73263.BMN673","TGI","18.4196"
"196","73263.CFI-402257","angle","1.6906"
"197","73263.CFI-402257","abc","128.3171"
"198","73263.CFI-402257","TGI","8.8800"
"199","73263.CFI-400945","angle","24.4970"
"200","73263.CFI-400945","abc","335.7639"
"201","73263.CFI-400945","TGI","-40.0360"
"202","73263.CX5461","angle","8.3120"
"203","73263.CX5461","abc","271.8607"
"204","73263.CX5461","TGI","-29.2328"
"205","73263.CFI-400945+ABT263","angle","NA"
"206","73263.CFI-400945+ABT263","abc","NA"
"207","73263.CFI-400945+ABT263","TGI","NA"
"208","73263.CARBOPLATIN","angle","80.5522"
"209","73263.CARBOPLATIN","abc","350.9264"
"210","73263.CARBOPLATIN","TGI","-150.3274"
"211","73263.ERIBULIN","angle","20.7984"
"212","73263.ERIBULIN","abc","260.7045"
"213","73263.ERIBULIN","TGI","-15.0487"
"214","73263.CDX-011","angle","4.3068"
"215","73263.CDX-011","abc","137.2794"
"216","73263.CDX-011","TGI","10.6306"
"217","NOTCH06.ERIBULIN","angle","161.8449"
"218","NOTCH06.ERIBULIN","abc","467.5907"
"219","NOTCH06.ERIBULIN","TGI","-28.8654"
"220","NOTCH06.TAXOL","angle","98.5276"
"221","NOTCH06.TAXOL","abc","402.7787"
"222","NOTCH06.TAXOL","TGI","31.2752"
"223","NOTCH06.TAXOL + CFI-402257","angle","151.9893"
"224","NOTCH06.TAXOL + CFI-402257","abc","485.0025"
"225","NOTCH06.TAXOL + CFI-402257","TGI","21.5434"
"226","NOTCH06.CDX-011","angle","164.3380"
"227","NOTCH06.CDX-011","abc","405.5215"
"228","NOTCH06.CDX-011","TGI","-7.3499"
"229","NOTCH06.CFI-400945","angle","-0.2418"
"230","NOTCH06.CFI-400945","abc","16.1978"
"231","NOTCH06.CFI-400945","TGI","19.4300"
"232","NOTCH06.CFI-402257","angle","-0.1926"
"233","NOTCH06.CFI-402257","abc","-79.1384"
"234","NOTCH06.CFI-402257","TGI","0.6043"
"235","NOTCH06.BMN673","angle","25.0626"
"236","NOTCH06.BMN673","abc","295.3319"
"237","NOTCH06.BMN673","TGI","54.8400"
"238","NOTCH06.CX5461","angle","1.2418"
"239","NOTCH06.CX5461","abc","120.2737"
"240","NOTCH06.CX5461","TGI","4.1360"
"241","REF014BL.CX5461","angle","-1.1094"
"242","REF014BL.CX5461","abc","-5.3801"
"243","REF014BL.CX5461","TGI","29.0119"
"244","REF014BL.TAXOL + CFI-402257","angle","55.6667"
"245","REF014BL.TAXOL + CFI-402257","abc","97.2173"
"246","REF014BL.TAXOL + CFI-402257","TGI","-9.4186"
"247","REF014BL.CARBOPLATIN","angle","8.9821"
"248","REF014BL.CARBOPLATIN","abc","36.8445"
"249","REF014BL.CARBOPLATIN","TGI","6.4899"
"250","REF014BL.CFI-402257","angle","3.9595"
"251","REF014BL.CFI-402257","abc","17.8937"
"252","REF014BL.CFI-402257","TGI","2.5249"
