id,batch_id,response_type,value
485,162,abc,NA
486,162,TGI,NA
487,163,angle,NA
488,163,abc,NA
489,163,TGI,NA
490,164,angle,NA
491,164,abc,NA
492,164,TGI,NA
493,165,angle,NA
494,165,abc,NA
495,165,TGI,NA
496,166,angle,NA
497,166,abc,NA
498,166,TGI,NA
499,167,angle,NA
500,167,abc,NA
501,167,TGI,NA
502,168,angle,NA
503,168,abc,NA
504,168,TGI,NA
505,169,angle,NA
506,169,abc,NA
507,169,TGI,NA
508,170,angle,NA
509,170,abc,NA
510,170,TGI,NA
511,171,angle,NA
512,171,abc,NA
513,171,TGI,NA
514,172,angle,NA
515,172,abc,NA
516,172,TGI,NA
517,173,angle,NA
518,173,abc,NA
519,173,TGI,NA
520,174,angle,NA
521,174,abc,NA
522,174,TGI,NA
523,175,angle,NA
524,175,abc,NA
525,175,TGI,NA
526,176,angle,NA
527,176,abc,NA
528,176,TGI,NA
529,177,angle,NA
530,177,abc,NA
531,177,TGI,NA
532,178,angle,NA
533,178,abc,NA
534,178,TGI,NA
535,179,angle,NA
536,179,abc,NA
537,179,TGI,NA
538,180,angle,NA
539,180,abc,NA
540,180,TGI,NA
541,181,angle,NA
542,181,abc,NA
543,181,TGI,NA
544,182,angle,NA
545,182,abc,NA
546,182,TGI,NA
547,183,angle,NA
548,183,abc,NA
549,183,TGI,NA
550,184,angle,NA
551,184,abc,NA
552,184,TGI,NA
553,185,angle,NA
554,185,abc,NA
555,185,TGI,NA
556,186,angle,NA
557,186,abc,NA
558,186,TGI,NA
559,187,angle,NA
560,187,abc,NA
561,187,TGI,NA
562,188,angle,NA
563,188,abc,NA
564,188,TGI,NA
565,189,angle,NA
566,189,abc,NA
567,189,TGI,NA
568,190,angle,NA
569,190,abc,NA
570,190,TGI,NA
571,191,angle,NA
572,191,abc,NA
573,191,TGI,NA
574,192,angle,NA
575,192,abc,NA
576,192,TGI,NA
577,193,angle,NA
578,193,abc,NA
579,193,TGI,NA
580,194,angle,-94.4225
581,194,abc,-645.7652
582,194,TGI,9.7007
